,,Product Code,Private Hospi Alex,Private Hospi Cairo,Private Hospi Del2,Private Hospi Giza,Private Hospi Upper,Key Accounts W Cairo,Key Accounts W Giza,ك.عملاء اسكندرية 1,ك.عملاء اسكندرية2,ك.عملاء مطروح واسكن3,ك.عملاء  البحيرة 1,ك.عملاء البحيرة 2,ك.عملاء شرق القاهرة1,ك.عملاء القناة,ك.عملاء وسط البلد,October K.Acc,ك.عملاء فبصل والهرم,ك.عملاء امبابة,Helwan K.Acc,ك.عملاء شرق القاهرة2,ك.ع.م.نصر وهليوبليس,ك.عملاء المنوفية, ك.عملاء الغربية 1,ك.عملاء كفر الشيخ,ك.عملاء الدقهلية 1,ك.ع.الدقهلية2 ودمياط,ك.عملاء الشرقية,ك.عملاء القليوبية, ك.عملاء الغربية 2,ك.عملاء اسيوط,ك.عملاء اسوان,ك.ع.بنى سويف والفيوم,ك.عملاء المنيا,ك.عملاء قنا,ك.عملاء سوهاج,ك.عملاء سوهاج وقنا,ك.ع.المنيا واسيوط,ك.ع.الاقصر والغردقة,Retail  Al-Falaky,Retail Al-Qabary,Retail Nasria,Retail Damanhour 2,Retail Damanhour 3,Retail Mina Al-Basal,Retail Miami,Retail Al-Qabary 2,Retail Almaza 1,Retail Nasr Al-Deen,Retail Imbaba,Retail October,Retail Al-Fayoum,Retail SUEZ,Retail Al-Matarya,Retail Almaza 2,Retail Ein Shams 1,Retail Mostorod,Retail Road Al-Farag,Retail Ein Shams 2,Re Khatem Morsalin,Retail Helwan,Retail Helwan 2,Retail Damanhour,Retail Tanta,Retail Al-Mahala 2,Retail Kafr Al-Zayat,Retail Mansora,Retail Mansora 2,Retail Dekernes,Retail Domiat,Retail Shebin,Retail Al-Zagazik,Retail Fakous,Retail Banha 1,Retail Banha 2,Retail Berka Sabe,Retail Al-Mahala,Retail Tanta 2,RETAIL Monof,Retail Kafr AlZayat2,Retail Al-Zagazik 2,Retail Port-Said,Retail Bani Sueaf,Retail Al-Menia 2,Retail Mallawi,Retail Assuit 3,Retail Assuit 2,Retail El- Kwamel,Retail Sohag,Retail Qena,Retail EL-Balina,Retail Luxor,Retail Aswan,Retail Al-Menia,Retail Hurghada,Retail Ngaa Hammadi,Super KA Alex,Super KA Cairo,Super KA Delta,Super KA Giza,Super KA Canal,Key Acc. W Shebien,Key Acc. W Bani Suwa,Key Acc. W Qabary,Key Acc. W Kafr Elza,Key Acc. W Zakazik,Key Acc. W Menya,Key Acc. W Assiut,Key Acc. W Sohag,Key Acc. W Luxor,Super KA. W Giza,Super KA. W Delta1,Super KA. W Delta2,Super KA. W Delta3,Total,Total Bonus
,ازيثرومايسين ايه يو جى 500 مجم 3 قرص,33885,,,,,,,,11,,2,,2,11,1,,,,1,3,,4,,1,,,1,152,13,,,,,,,,,,,,,,1,3,,,1,,2,,6,2,1,,,1,,,1,4,,,1,,3,,,25,1,,,,,7,1,3,,,,,30,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,,,,,,306,51
,,,,,,,,,,503.25,,91.50,,91.50,503.25,45.75,,,,45.75,137.25,,183.00,,45.75,,,45.75,"8,692.50",594.75,,,,,,,,,,,,,,45.75,137.25,,,45.75,,91.50,,274.50,91.50,45.75,,,45.75,,,45.75,183.00,,,45.75,,137.25,,,"1,372.50",45.75,,,,,320.25,45.75,137.25,,,,,"1,738.50",,,,,,,,,,,,,,,,,,,411.75,91.50,,,,,,,,,,,,,,"16,332.75",
,ازيثرومايسين ايه يو جى 500 مجم 6 قرص,33886,,,,,,,,3,7,123,3,2,7,2,5,11,1,2,,,2,4,,,,7,8,2,,1,13,4,1,17,3,1,1,45,2,1,7,,6,4,,,,3,,,2,82,1,,,,,,8,3,,5,,3,,5,,,,6,,,1,,5,1,0,9,,1,2,2,,,,,,10,,,3,,1,,,53,10,30,16,15,,,10,,,,,,,,,,,582,42
,,,,,,,,,,274.50,640.50,"13,084.50",274.50,183.00,640.50,183.00,457.50,"1,098.00",91.50,183.00,,,183.00,366.00,,,,640.50,732.00,183.00,,91.50,"1,189.50",366.00,91.50,"1,647.00",274.50,91.50,91.50,"4,666.50",183.00,91.50,640.50,,549.00,366.00,,,,274.50,,,183.00,"7,503.00",91.50,,,,,,732.00,274.50,,457.50,,274.50,,457.50,,,,549.00,,,91.50,,457.50,91.50,0.00,823.50,,91.50,183.00,183.00,,,,,,"1,006.50",,,274.50,,91.50,,,"5,307.00","1,006.50","3,202.50","1,464.00","1,464.00",,,"1,006.50",,,,,,,,,,,"57,096.00",
,اكنى اكت جيل 15 جرام,24871,,,,,,5,20,,,,,,23,,13,35,24,39,23,20,47,,,,,,19,29,,,,23,14,,,,,,,,,,,,,,13,8,12,8,19,,13,13,8,2,12,4,16,12,6,,,,,,,,,,28,24,15,21,,,,,,49,,7,10,,,,,,,,,,,,,,80,1,143,104,,,,,,,,,,,,,,962,0
,,,,,,,,138.75,555.00,,,,,,638.25,,360.75,971.25,666.00,"1,082.25",638.25,555.00,"1,304.25",,,,,,527.25,804.75,,,,638.25,388.50,,,,,,,,,,,,,,360.75,222.00,333.00,222.00,527.25,,360.75,360.75,222.00,55.50,333.00,111.00,444.00,333.00,166.50,,,,,,,,,,777.00,666.00,416.25,582.75,,,,,,"1,359.75",,194.25,277.50,,,,,,,,,,,,,,"2,220.00",27.75,"3,968.25","2,886.00",,,,,,,,,,,,,,"26,695.50",
,البوتيل 90 مجم لبوس مهبلى,6514,2,40,,19,,,,33,33,22,33,25,74,44,47,91,44,45,30,48,43,45,18,14,19,33,94,33,22,,,89,-10,,4,31,,,4,1,28,12,16,7,4,,15,1,5,34,56,14,15,25,32,21,3,7,29,8,5,7,11,5,1,22,4,,6,3,6,16,24,17,11,12,2,2,3,3,5,16,1,,,,6,5,,,,,,,5,158,166,146,187,77,,100,,,,,,,,,,,,"2,434",1
,,,90.00,"1,800.00",,855.00,,,,"1,485.00","1,485.00",990.00,"1,485.00","1,125.00","3,330.00","1,980.00","2,115.00","4,095.00","1,980.00","2,025.00","1,350.00","2,160.00","1,935.00","2,025.00",810.00,630.00,855.00,"1,485.00","4,230.00","1,485.00",990.00,,,"4,005.00",-450.00,,180.00,"1,395.00",,,180.00,45.00,"1,260.00",540.00,720.00,315.00,180.00,,675.00,45.00,225.00,"1,530.00","2,520.00",630.00,675.00,"1,125.00","1,440.00",945.00,135.00,315.00,"1,305.00",360.00,225.00,315.00,495.00,225.00,45.00,990.00,180.00,,270.00,135.00,270.00,720.00,"1,080.00",765.00,495.00,540.00,90.00,90.00,135.00,135.00,225.00,720.00,45.00,,,,270.00,225.00,,,,,,,225.00,"7,110.00","7,470.00","6,570.00","8,415.00","3,510.00",,"4,500.00",,,,,,,,,,,,"109,575.00",
,ايه يو جى درما بانثينول كريم 30 جرام,37853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.16,
,ايه يو جى درما بروكير كريم 15 جرام,36045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,19,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.35,,,,"1,684.20","3,228.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,192.95",
,ايه يو جى درما فازلين كريم 100 جرام,28775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.12,
,ايه يو جى درما فازلين كريم 30 جرام,42360,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4
,,,,,,,,,,,,210.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.31,
,بروتولانز 60 مجم 14 كبسولة,33383,,,,7,8,,,3,6,12,45,14,22,59,14,21,12,22,10,20,40,9,4,5,44,49,19,3,20,3,58,14,16,14,35,19,11,10,1,1,3,5,14,4,3,2,11,1,2,6,2,3,2,4,6,0,,3,10,1,6,21,7,15,1,8,1,15,37,165,6,5,2,3,11,2,4,3,9,6,15,,6,4,2,1,8,4,11,3,2,6,1,3,,135,44,116,"1,422",120,,,,,,,,,,,,,,"2,962",422
,,,,,,708.75,810.00,,,303.75,607.50,"1,215.00","4,556.25","1,417.50","2,227.50","6,075.00","1,417.50","2,126.25","1,215.00","2,227.50","1,012.50","2,025.00","4,151.25",911.25,405.00,506.25,"4,657.50","4,961.25","1,923.75",303.75,"2,025.00",303.75,"5,973.75","1,417.50","1,620.00","1,417.50","3,543.75","1,923.75","1,113.75","1,012.50",101.25,101.25,303.75,506.25,"1,417.50",405.00,303.75,202.50,"1,113.75",101.25,202.50,607.50,202.50,303.75,202.50,405.00,607.50,0.00,,303.75,"1,012.50",101.25,607.50,"2,126.25",708.75,"1,518.75",101.25,810.00,101.25,"1,518.75","3,746.25","17,516.25",607.50,506.25,202.50,303.75,"1,113.75",202.50,405.00,303.75,911.25,607.50,"1,518.75",,607.50,405.00,202.50,101.25,810.00,405.00,"1,113.75",303.75,202.50,607.50,101.25,303.75,,"14,782.50","4,455.00","12,150.00","183,667.50","12,352.50",,,,,,,,,,,,,,"342,630.00",
,جاردوفاز 5 مجم 30 قرص,30972,1,7,,3,,,,2,2,,,2,8,,18,6,15,5,1,4,5,2,1,,,0,12,2,4,,2,1,1,6,1,3,2,,1,,1,4,1,,,1,,,,,,,1,3,3,,,,3,1,1,,1,,1,,4,3,,,2,2,,-1,,2,1,,,4,,1,,1,,,1,4,,1,,1,,,,81,9,7,10,1,,,,,,,,,,,,,,272,14
,,,"1,352.25","10,818.00",,"4,056.75",,,,"2,704.50","2,704.50",,,"2,704.50","10,818.00",,"24,340.50","8,113.50","20,283.75","6,761.25","1,352.25","5,409.00","6,761.25","2,704.50","1,352.25",,,0.00,"16,227.00","2,704.50","5,409.00",,"2,704.50","1,352.25","1,352.25","8,113.50","1,352.25","4,056.75","2,704.50",,"1,352.25",,"1,352.25","5,409.00","1,352.25",,,"1,352.25",,,,,,,"1,352.25","4,056.75","4,056.75",,,,"4,056.75","1,352.25","1,352.25",,"1,352.25",,"1,352.25",,"5,409.00","4,056.75",,,"2,704.50","2,704.50",,"-1,352.25",,"2,704.50","1,352.25",,,"5,409.00",,"1,352.25",,"1,352.25",,,"1,352.25","5,409.00",,"1,352.25",,"1,352.25",,,,"127,111.50","12,170.25","9,465.75","13,522.50","1,352.25",,,,,,,,,,,,,,"386,743.50",
,جستيكول 10 مجم 14 قرص,20788,21,220,20,7,,10,100,40,29,34,18,24,34,16,24,35,19,36,29,38,54,10,13,7,29,35,15,7,19,7,24,32,22,2,17,9,9,15,4,7,12,8,6,10,5,1,1,2,5,4,2,,11,12,10,6,16,8,14,6,5,29,8,7,2,2,4,24,5,8,19,6,3,9,5,4,5,1,16,,4,26,1,9,,,1,,,2,7,3,,2,3,382,110,177,516,44,300,,"2,238",750,600,,,,,800,400,900,,"8,667","1,878"
,,,"1,102.50","13,650.00","1,050.00",367.50,,525.00,"6,562.50","2,100.00","1,522.50","1,785.00",945.00,"1,260.00","1,785.00",840.00,"1,260.00","1,837.50",997.50,"1,890.00","1,522.50","1,995.00","2,835.00",525.00,682.50,367.50,"1,522.50","1,837.50",787.50,367.50,997.50,367.50,"1,260.00","1,680.00","1,155.00",105.00,892.50,472.50,472.50,787.50,210.00,367.50,630.00,420.00,315.00,525.00,262.50,52.50,52.50,105.00,262.50,210.00,105.00,,577.50,630.00,525.00,315.00,840.00,420.00,735.00,315.00,262.50,"1,522.50",420.00,367.50,105.00,105.00,210.00,"1,260.00",262.50,420.00,997.50,315.00,157.50,472.50,262.50,210.00,262.50,52.50,840.00,,210.00,"1,365.00",52.50,472.50,,,52.50,,,105.00,367.50,157.50,,105.00,157.50,"23,940.00","6,300.00","9,922.50","31,710.00","2,310.00","20,002.50",,"150,727.50","49,455.00","41,475.00",,,,,"52,500.00","26,670.00","59,062.50",,"553,612.50",
,جستيكول 10 مجم 28 قرص,29952,,,,,,,,1,3,,3,1,,,,,,,,,,,2,,3,3,,,5,,1,,,,1,1,,,,1,,3,1,5,,,,,,,,,,,,,,,,,,4,,2,3,,,,1,1,,,,,,,1,1,,,,,1,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,52,0
,,,,,,,,,,105.00,315.00,,315.00,105.00,,,,,,,,,,,210.00,,315.00,315.00,,,525.00,,105.00,,,,105.00,105.00,,,,105.00,,315.00,105.00,525.00,,,,,,,,,,,,,,,,,,420.00,,210.00,315.00,,,,105.00,105.00,,,,,,,105.00,105.00,,,,,105.00,,,105.00,105.00,105.00,,,,,,,105.00,,,,,,,,,,,,,,,,,,,"5,460.00",
,جستيكول 20 مجم 14 قرص,21693,,213,5,8,,,100,25,26,9,11,31,19,,7,19,7,4,21,20,23,1,6,6,11,16,"1,000",6,9,,26,76,11,,3,7,10,5,3,1,4,7,4,4,1,,,4,2,2,7,2,2,4,5,2,3,,16,2,1,8,6,4,2,2,3,4,4,,,4,1,1,5,4,,2,5,1,1,15,1,2,3,2,,,1,2,1,1,2,,2,426,76,60,372,17,,,"2,782",400,300,,,,,800,400,"1,000",,"8,539","1,802"
,,,,"19,354.50",382.50,612.00,,,"9,562.50","1,912.50","1,989.00",688.50,841.50,"2,371.50","1,453.50",,535.50,"1,453.50",535.50,306.00,"1,606.50","1,530.00","1,759.50",76.50,459.00,459.00,841.50,"1,224.00","76,500.00",459.00,688.50,,"1,989.00","6,732.00",841.50,,229.50,535.50,765.00,382.50,229.50,76.50,306.00,535.50,306.00,306.00,76.50,,,306.00,153.00,153.00,535.50,153.00,153.00,306.00,382.50,153.00,229.50,,"1,224.00",153.00,76.50,612.00,459.00,306.00,153.00,153.00,229.50,306.00,306.00,,,306.00,76.50,76.50,382.50,306.00,,153.00,382.50,76.50,76.50,"1,147.50",76.50,153.00,229.50,153.00,,,76.50,153.00,76.50,76.50,153.00,,153.00,"37,944.00","6,579.00","5,202.00","35,649.00","1,300.50",,,"272,952.00","38,556.00","30,217.50",,,,,"76,500.00","38,862.00","95,625.00",,"791,086.50",
,جستيكول 20 مجم 28  قرص,19443,22,,,11,,10,,4,8,1,1,5,6,18,17,5,1,8,5,5,16,4,2,1,1,6,12,,10,0,3,12,3,2,5,8,1,3,4,0,5,7,,5,3,5,1,3,6,5,5,,,3,1,1,1,4,,4,,7,1,1,2,2,2,4,2,6,3,1,2,6,,3,1,2,6,2,,7,3,2,1,4,7,3,,2,,,7,,3,11,19,11,55,2,,20,6,,,,,,,,,,,495,0
,,,"3,366.00",,,"1,683.00",,"1,530.00",,612.00,"1,224.00",153.00,153.00,765.00,918.00,"2,754.00","2,601.00",765.00,153.00,"1,224.00",765.00,765.00,"2,448.00",612.00,306.00,153.00,153.00,918.00,"1,836.00",,"1,530.00",0.00,459.00,"1,836.00",459.00,306.00,765.00,"1,224.00",153.00,459.00,612.00,0.00,765.00,"1,071.00",,765.00,459.00,765.00,153.00,459.00,918.00,765.00,765.00,,,459.00,153.00,153.00,153.00,612.00,,612.00,,"1,071.00",153.00,153.00,306.00,306.00,306.00,612.00,306.00,918.00,459.00,153.00,306.00,918.00,,459.00,153.00,306.00,918.00,306.00,,"1,071.00",459.00,306.00,153.00,612.00,"1,071.00",459.00,,306.00,,,"1,071.00",,459.00,"1,683.00","2,907.00","1,683.00","8,415.00",306.00,,"3,060.00",918.00,,,,,,,,,,,"75,735.00",
,جستيكول 5 مجم 28 قرص,27112,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,2,4,6,2,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,22,0
,,,,,,,,,,,,,,,,,,,69.00,,,,138.00,,,,,,,,,138.00,276.00,414.00,138.00,,138.00,,,,,,,,,,,,,69.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.00,,,,,,,,,,,,,,,,,69.00,,,,,,,,,,,,,,"1,518.00",
,دابوكستارد 60 مجم 3 قرص,16981,10,,,,,,,14,9,23,19,17,4,63,1,2,,50,10,3,17,16,13,7,24,33,13,6,14,23,38,4,11,1,9,40,,5,7,8,1,40,38,1,,4,6,,,1,11,16,2,24,2,,,,27,1,,16,1,2,,5,2,15,10,20,,10,17,14,14,21,1,12,2,3,,,8,13,,4,11,8,,3,7,35,43,10,,5,33,70,55,41,,,,,,,,,,,,,,"1,199",141
,,,504.00,,,,,,,672.00,378.00,"1,050.00",882.00,798.00,168.00,"3,276.00",42.00,84.00,,"2,730.00",504.00,126.00,798.00,756.00,630.00,294.00,"1,092.00","1,554.00",546.00,252.00,588.00,"1,134.00","1,764.00",168.00,462.00,42.00,378.00,"1,974.00",,210.00,294.00,336.00,42.00,"1,848.00","1,680.00",42.00,,168.00,252.00,,,42.00,546.00,756.00,84.00,"1,176.00",84.00,,,,"1,302.00",42.00,,756.00,42.00,84.00,,210.00,84.00,714.00,420.00,924.00,,504.00,798.00,672.00,672.00,882.00,42.00,504.00,84.00,126.00,,,336.00,630.00,,168.00,462.00,336.00,,126.00,294.00,"1,554.00","2,058.00",504.00,,210.00,"1,554.00","3,570.00","2,562.00","1,848.00",,,,,,,,,,,,,,"56,280.00",
,درويكتافيل 100 مجم 12 قرص للمضغ,29007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.00,,,,,,,,,,,,,,,,,,,,,,,,,,,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.00,
,ديبافالى 50 مجم 28 قرص,24346,,,,,,,,4,,4,2,3,7,,1,1,6,,7,,,,,,4,4,1,3,3,,6,-18,11,,1,,1,1,2,1,2,3,1,2,,,,1,,,,3,,1,,,,,,,6,3,,,3,6,0,2,3,2,,,4,1,1,,,7,1,2,,1,7,1,,,,3,3,,2,1,1,3,,51,3,4,3,22,,,,,,,,,,,,,,214,4
,,,,,,,,,,432.00,,432.00,216.00,324.00,756.00,,108.00,62.25,460.50,,756.00,,,,,,432.00,432.00,108.00,324.00,324.00,,648.00,"-1,944.00","1,188.00",,108.00,,108.00,108.00,216.00,108.00,216.00,324.00,108.00,216.00,,,,84.00,,,,324.00,,108.00,,,,,,,648.00,324.00,,,324.00,648.00,0.00,216.00,324.00,216.00,,,432.00,108.00,108.00,,,756.00,108.00,216.00,,108.00,756.00,108.00,,,,324.00,324.00,,216.00,108.00,108.00,324.00,,"5,940.00",324.00,432.00,324.00,"2,376.00",,,,,,,,,,,,,,"23,286.75",
